segment_id,segment_text,p-caught
1,My daughter died.,81.82%
2,It’ll be twenty-eight years this month.,62.63%
3,"The thirtieth of this month, yeah.",53.54%
4,She died at Methodist Hospital.,60.61%
5,She had an operation for appendicitis.,75.76%
6,"It was late Saturday afternoon when they operated, very late.",30.30%
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",46.46%
8,She was still under ether.,39.39%
9,"Back then, they used a lot of ether.",32.32%
10,There was a chair there.,30.30%
11,"They were just starting to get people out of bed, you know.",43.43%
12,"So, Victoria saw the chair,",22.22%
13,"and she said to the nurse, “What’s this chair doing here?”",38.38%
14,"The nurse said, “Well, we’ve got to get her out of bed.”",54.55%
15,"She said, “What are you talking about? She’s still under ether.”",27.27%
16,“She’s too sick.”,31.31%
17,"But the nurse said, “Well, that’s the doctor’s orders.”",44.44%
18,"So, they went to get her out of bed,",43.43%
19,"and she passed out,",59.60%
20,and they had to put her back in bed.,30.30%
21,"See, here, she never – I don’t know if they knew or what,",30.30%
22,"but I blame them for the blood clot she got, taking her out of bed.",66.67%
23,"So, when she was walking around to come home after ten days,",48.48%
24,I was waiting for the call from the hospital.,69.70%
25,I didn’t have a phone then.,34.34%
26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",76.77%
27,"“Mrs. Costa, they just called you from the hospital.",66.67%
28,Go Pick Marie up.,82.83%
29,She’s discharged.”,32.32%
30,I had all the clothes laid out on the table.,47.47%
31,"And Rita was – I was cooking,",49.49%
32,"I said, “Rita, finish the cooking.”",45.45%
33,Daddy will be home soon.”,45.45%
34,He was working down in the yard.,39.39%
35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",42.42%
36,"And you know, every morning, that first cup of coffee, I offered it to her.",37.37%
37,"When I get up in the morning, the first cup is hers.",34.34%
38,"Since she’s gone, I never forget that.",32.32%
39,"So I said, “Put a pot of coffee on,",38.38%
40,and send for some cake from the bakery.”,37.37%
41,I’m going to get Marie; they called me.”,53.54%
42,"“All right, mother, go ahead,” she said, “I’ll finish up.”",27.27%
43,"And I went myself. You know, I had the coat on my arm.",46.46%
44,She was operated on in March –,35.35%
45,"No, April! So that was the thirtieth.",52.53%
46,"She was operated – ten days before, so that would be the twentieth.",48.48%
47,"The twentieth of April, right? It was kind of chilly.",21.21%
48,"Oh, and I had everything in a bag,",40.40%
49,and I had the coat on my arm and her dress hanging on my arm.,44.44%
50,"She saw me from the windows, from Wolf Street.",39.39%
51,"She said, “My mother’s just coming.”",27.27%
52,"She was with the girls, saying goodbye to everyone – you know how it is.",33.33%
53,"They told me on the phone, it would be ten dollars more for her board.",25.25%
54,And to make sure I brought her girdle to put on.,25.25%
55,"I said, “All right, I’ll be right over.”",23.23%
56,And I went.,51.52%
57,"But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.”",69.70%
58,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder.",44.44%
59,"She lived near my sister, and she had ten children.",37.37%
60,They had said she was in very bad shape.,34.34%
61,"I prayed, “Oh dear God, don’t take that mother away from her children.”",38.38%
62,"I was praying for her, you know.",23.23%
63,Then a little nurse’s aide went to the closet and got some blankets.,31.31%
64,"I started getting the chills,",29.29%
65,"and I was thinking about it,",22.22%
66,"when the aide said to the nurse, “Oh, she’s going into a cold sweat now.”",33.33%
67,"The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?”",55.56%
68,"“Oh my God!” I said, “Don’t tell me you’re running for my daughter!”",54.55%
69,"“Yes,” she said, “come on in.”",48.48%
70,"So, I went into the room.",53.54%
71,And my daughter was on the bed with her bedroom slippers and her housecoat on.,54.55%
72,"And the beads of sweat – honest to God, not to exaggerate, they were that big.",49.49%
73,It came – just poured from her –,38.38%
74,"I said, “What did you do, kill my daughter?",76.77%
75,You killed her! You killed her!”,62.63%
76,That’s what I kept yelling.,56.57%
77,"And the doctor rushed in,",41.41%
78,"see, they were trying to get the doctor, you know.",34.34%
79,She was a lady doctor.,44.44%
80,"Dr. Schwartz actually did the operation, but she was his assistant, Dr. Montique.",40.40%
81,She was a lady doctor.,41.41%
82,"So, she came in and she said –",28.28%
83,"I said, “You killed my daughter – what did you do to her?”",70.71%
84,"She said, “We don’t know what happened, Mrs. Costa.”",54.55%
85,She took me away from the bed.,31.31%
86,"The nurse said to me, “Talk to her.”",42.42%
87,"I said, “Talk to her? My daughter’s dying, what am I supposed to tell her?”",39.39%
88,And I was screaming.,67.68%
89,My hair was all pulled out.,56.57%
90,"I went hysterical, you know what I mean? She was only eighteen years old.",66.67%
91,"Beautiful girl, you can see from her picture.",35.35%
92,"And just as I turned my back, my daughter passed away.",64.65%
93,She was getting ready to go home.,49.49%
94,I had the clothes and everything ready.,41.41%
95,My husband was waiting for her.,54.55%
96,"He came home, went upstairs to shave and wash, then sat on the step, waiting.",54.55%
97,“When is the mother coming?”,49.49%
98,The hospital kept calling.,47.47%
99,The people in the office didn’t know what had happened yet.,50.51%
100,"They kept calling the store, trying to reach us.",51.52%
101,"They asked, “When is the mother coming to pick up Marie?",54.55%
102,She’s discharged.”,51.52%
103,"And Rita said “That’s strange, the mother went to the hospital. She should be there.”",54.55%
104,So they came back to the hospital to look for us.,47.47%
105,"Rita said, “Gee, that’s strange,”",45.45%
106,"she said, “Mother must’ve gotten really worked up about Marie.”",44.44%
107,"You know, I’ve always had a bad heart.",40.40%
108,"“Mother must’ve gotten so upset about Marie, she probably made herself sick,” Rita thought.",43.43%
109,"So she came over with my son-in-law, in the car.",46.46%
110,"And I was in the main hallway, at the office.",48.48%
111,I was all pulled apart.,46.46%
