,summary,rephrased_summary,total,len,rate,keypoints_id
90,My daughter Marie died after an operation due to a blood clot.|I felt angry and blamed the hospital for her death.|The news of Marie's death caused heart attacks in my husband and son.,My child Marie passed away following surgery because of a thrombosis. I was filled with rage and held the medical facility responsible for her demise. The announcement of Marie's passing triggered cardiac arrests in both my spouse and my boy.,83.63,184,0.45,3_1
91,"My daughter died after complications from an appendicitis operation.|I was at the hospital when she unexpectedly passed away.|The loss devastated our family, causing us immense grief and health issues.","Following an appendectomy, my daughter succumbed to complications and lost her life. I was present in the hospital during the unforeseen tragedy. Our family was shattered by her departure, which brought about profound sorrow and affected our health.",57.59,201,0.29,3_2
124,My daughter died twenty-eight years ago after an operation.|I blame the hospital for her death due to a blood clot.|Her sister Rita still suffers from the shock of Marie's death.|My family and I were devastated by the news of her death.,"Twenty-eight years have passed since my daughter passed away following a surgical procedure. I hold the hospital responsible for her demise, which was caused by a thrombus. Marie's death continues to deeply affect her sister Rita. The announcement of her passing brought immense sorrow to our family.",96.67,236,0.41,4_2
92,"My daughter died due to complications after an appendicitis operation.|I was devastated and blamed the hospital for taking her out of bed too soon.|Our family's grief was profound, causing additional health crises for my husband and son.",The passing of my daughter from issues following surgery for appendicitis left me shattered. I held the hospital responsible for her premature discharge. The sorrow that enveloped our family led to further health emergencies for both my husband and my son.,66.58,237,0.28,3_3
125,"My daughter died at the hospital after an appendicitis operation.|We were told she was discharged, but she collapsed from a blood clot.|I was devastated and blamed the hospital for her death.|My husband's and son's health were severely affected by the news.","Following a surgical procedure for appendicitis, my daughter passed away in the hospital. Despite being informed of her release, she succumbed to a blood clot and collapsed. The loss left me in shambles, and I held the hospital responsible for her demise. The tragic event took a significant toll on the well-being of my husband and son.",71.91,257,0.28,4_3
123,"My daughter died in the hospital after surgery due to a blood clot.|I was devastated and hysterical upon hearing the news of her death.|This tragic event severely impacted my family, causing further health issues.|The memory of my daughter and her untimely death haunts me every day.","The passing of my daughter in the hospital, following an operation because of a thrombosis, left me shattered and in a state of hysteria when I was informed of her demise. This sorrowful occurrence has had a profound effect on my family, leading to additional health complications. The recollection of my daughter and the premature end of her life lingers with me daily.",89.96,283,0.32,4_1
156,"My daughter died at Methodist Hospital after surgery.|Victoria visited her in the hospital the following morning.|Marie was discharged, but collapsed and died soon after.|I blamed the hospital for her death and reacted hysterically.|The incident deeply affected my entire family and community.","My child passed away at Methodist Hospital post-operation. The next morning, Victoria went to see her in the medical facility. Shortly after being released, Marie suffered a collapse and passed away. I held the hospital responsible for her demise and responded with uncontrollable emotion. This event profoundly impacted not only our family but also the wider community.",118.81,293,0.41,5_1
163,I lost my daughter Marie twenty-eight years ago.|Marie died after an operation due to a blood clot.|I went to the hospital to bring Marie home.|I was devastated and hysterical after Marie's death.|Marie’s death affected my entire family deeply.|The loss of Marie left lasting pain in our lives.,Twenty-eight years have passed since my daughter Marie's passing. A blood clot following surgery led to her untimely demise. I had gone to the hospital with the intention of taking Marie back home. Her death left me in a state of devastation and hysteria. The impact of losing Marie was profound on our whole family. We've been left with an enduring ache from her absence.,84.27,294,0.29,6_2
158,My daughter died 28 years ago on the thirtieth of the month.|She had an operation for appendicitis and died due to a suspected blood clot.|I blamed the hospital staff for moving her while she was unwell.|My husband and son both had heart attacks after hearing the news.|The entire neighborhood and family were shocked and devastated.,"Twenty-eight years ago, at the end of the month, I lost my daughter. She underwent surgery for appendicitis but unfortunately passed away, presumably because of a blood clot. I held the medical team responsible for transferring her when she was in a vulnerable state. The tragic news led to my husband and son suffering from cardiac arrests. This sorrowful event left our relatives and the local community in a state of disbelief and profound grief.",111.7,333,0.34,5_3
165,My daughter died after an operation for appendicitis.|The hospital called me to pick up Marie.|I went to the hospital with her clothes prepared.|The nurse informed me my daughter had collapsed.|Marie complained of leg pain before passing away.|I was hysterical and refused to let them touch her.|My family was devastated upon learning of her death.,"Following a surgical procedure to remove her appendix, my daughter passed away. The medical center contacted me to collect Marie, so I arrived at the facility with her garments ready. It was then that a nurse relayed the tragic news that my daughter had suffered a collapse. Prior to her demise, Marie had experienced pain in her leg. Overcome with emotion, I was adamant that no one should handle her. The news of her passing brought immense sorrow to our family.",112.96,348,0.32,7_1
162,"My daughter Marie died twenty-eight years ago after surgery.|Victoria found Marie still under ether after surgery.|The hospital tried to get Marie out of bed against her condition.|I went to pick Marie up, but was informed she had fainting spells.|Marie passed away in the hospital unexpectedly.|The shock of Marie's death affected my entire family deeply.","Twenty-eight years have passed since my daughter Marie's passing following an operation. Victoria discovered Marie unconscious from the anesthesia post-operation. Despite her fragile state, the hospital staff attempted to mobilize her. When I arrived to collect her, I was told she had experienced several episodes of syncope. Tragically, Marie's life ended abruptly while she was still in the hospital. The sudden loss of Marie had a profound impact on all of us in the family.",122.9,356,0.35,6_1
