summary_name,mbits,original_length,rephrased_length
summary_gpt4o_71_1,1275.6859163751835,3169,2913
summary_gpt4o_12_1,233.991537072424,552,606
summary_gpt4o_63_1,1101.4590082747736,2295,2403
summary_gpt4o_100_1,1314.7257737251884,3163,2915
summary_gpt4o_28_1,539.7021062140143,1209,1243
summary_gpt4o_55_1,1172.330111940816,2677,2756
summary_gpt4o_36_1,710.8325211521451,1490,1547
summary_gpt4o_47_1,798.3794495918057,2022,2011
summary_gpt4o_24_1,478.0077101124036,901,1052
summary_gpt4o_59_1,1025.171510520198,2138,2094
summary_gpt4o_90_1,1002.5271760382494,2845,2408
summary_gpt4o_190_1,1301.1337642499104,2860,3049
summary_gpt4o_182_1,2938.3586266944094,6703,6567
summary_gpt4o_82_1,1465.697807257017,3651,3090
summary_gpt4o_5_1,155.31834604469998,293,347
summary_gpt4o_9_1,259.006012381472,510,555
summary_gpt4o_180_1,1601.3110474285447,3199,3334
summary_gpt4o_80_1,1416.543176880691,3251,3176
summary_gpt4o_192_1,1191.750884236581,2840,2631
summary_gpt4o_7_1,162.03973257530998,348,382
summary_gpt4o_61_1,1160.723321255759,2433,2542
summary_gpt4o_110_1,1685.2256378765687,3515,3495
summary_gpt4o_10_1,248.321137155704,475,562
summary_gpt4o_73_1,1072.0637021980417,2557,2434
summary_gpt4o_26_1,567.7506558170105,1093,1288
summary_gpt4o_38_1,647.439810590667,1430,1437
summary_gpt4o_45_1,933.3222598778256,1755,1886
summary_gpt4o_34_1,655.610241207225,1469,1458
summary_gpt4o_49_1,873.6057867953249,1886,2063
summary_gpt4o_57_1,980.071091888238,2318,2195
summary_gpt4o_3_1,103.0621544463,184,222
summary_gpt4o_184_1,1401.4911023543482,3186,3004
summary_gpt4o_84_1,1598.5146639196666,3504,3636
summary_gpt4o_130_1,2241.9303932081493,5254,5111
summary_gpt4o_30_1,575.9730144074708,1312,1313
summary_gpt4o_53_1,927.407546683177,2173,2059
summary_gpt4o_22_1,578.3337620816931,1229,1264
summary_gpt4o_41_1,955.1710276236636,2049,2233
summary_gpt4o_69_1,1321.9689173566208,3022,2969
summary_gpt4o_14_1,273.8187377664,644,674
summary_gpt4o_77_1,1207.5177765392148,2477,2412
summary_gpt4o_65_1,913.7484577976328,2177,2026
summary_gpt4o_18_1,369.40633217352,737,768
summary_gpt4o_43_1,1096.6529865202056,2240,2308
summary_gpt4o_20_1,313.91991338981893,658,694
summary_gpt4o_120_1,1654.3050976704506,3742,3707
summary_gpt4o_51_1,873.8624508341316,2347,2140
summary_gpt4o_32_1,532.7048785892471,1173,1291
summary_gpt4o_67_1,1141.9945120078305,2442,2589
summary_gpt4o_79_1,1499.8974463318166,3742,3494
summary_gpt4o_75_1,1460.4345241242563,3018,3110
summary_gpt4o_16_1,376.7463131658072,775,889
summary_gpt4o_186_1,5916.499055623639,8032,8438
summary_gpt4o_86_1,1453.5564643760565,2858,3016
summary_gpt4o_194_1,2418.6721071703532,5058,5161
summary_gpt4o_4_1,112.5152500718604,283,330
summary_gpt4o_8_1,283.4759839728614,578,617
summary_gpt4o_191_1,3129.659796625421,6659,7015
summary_gpt4o_183_1,1637.5392058371133,3504,3384
summary_gpt4o_83_1,1166.8915609607266,3084,2641
summary_gpt4o_37_1,862.113413462644,1979,2012
summary_gpt4o_54_1,1088.2740284225874,2719,2625
summary_gpt4o_29_1,483.7779736490623,1135,1192
summary_gpt4o_58_1,1051.7720683950272,2354,2431
summary_gpt4o_25_1,481.2219602880609,1073,1170
summary_gpt4o_46_1,842.9216752663431,1817,1962
summary_gpt4o_13_1,330.7955942537902,780,833
summary_gpt4o_70_1,1251.98603200108,2733,2792
summary_gpt4o_170_1,2076.9509712566187,4868,4716
summary_gpt4o_62_1,872.8620837416523,1858,1947
summary_gpt4o_44_1,774.3552818836075,1581,1696
summary_gpt4o_39_1,901.8047033545032,2016,2048
summary_gpt4o_27_1,655.8043375217335,1399,1517
summary_gpt4o_56_1,1005.1712073753606,2053,2221
summary_gpt4o_48_1,1028.5661862560498,2319,2356
summary_gpt4o_35_1,629.1598761175474,1463,1337
summary_gpt4o_160_1,1394.3590981353166,3042,2963
summary_gpt4o_60_1,1096.6619504758416,2387,2457
summary_gpt4o_72_1,1371.8784377540971,2978,3030
summary_gpt4o_11_1,231.740984594997,632,645
summary_gpt4o_6_1,182.9695518781,356,388
summary_gpt4o_181_1,1256.5255197467625,2471,2652
summary_gpt4o_81_1,1228.559788899193,2630,2739
summary_gpt4o_193_1,3392.2731493792785,7462,6556
summary_gpt4o_76_1,1242.1755451980407,2807,2882
summary_gpt4o_15_1,343.7109215521766,837,828
summary_gpt4o_68_1,1011.0716761659936,1859,1927
summary_gpt4o_19_1,357.0666174107132,728,884
summary_gpt4o_64_1,1120.1625581748633,2703,2483
summary_gpt4o_52_1,988.3744060264164,1952,2113
summary_gpt4o_31_1,542.1356060006581,1057,1221
summary_gpt4o_140_1,1054.5713912298402,2305,2344
summary_gpt4o_40_1,905.2255933746136,1884,1951
summary_gpt4o_23_1,420.7217922713677,975,1001
summary_gpt4o_189_1,1499.9920461800216,3304,3213
summary_gpt4o_185_1,2485.4403646889837,5387,5430
