fan_out_size,average_mbits_per_clause,weighted_average,std_dev_fan_out_size
0,-0.2365,-0.0,0.0068
1,6.1843,6.1843,0.0054
2,3.2524,6.5048,0.0074
3,2.5603,7.6809,0.0118
4,2.0498,8.1993,0.0171
5,1.7465,8.7327,0.0169
6,1.1403,6.8415,0.0264
7,0.9233,6.4633,0.0407
8,1.2121,9.6967,0.0852
9,0.9305,8.3745,0.0504
10,0.5424,5.4243,0.0271
11,0.4556,5.0121,0.0494
12,0.3965,4.7586,0.0928
13,-0.1369,-1.78,0.0329
14,-0.0691,-0.9673,0.0539
15,0.2078,3.1171,0.0443
16,-0.0568,-0.9089,0.065
17,0.6616,11.2467,0.1351
18,0.1388,2.4982,0.0466
19,0.1581,3.004,0.0674
20,-0.273,-5.46,0.0727
21,0.3511,7.3733,0.1228
22,-0.0249,-0.5475,0.0579
23,-0.1834,-4.2175,0.0487
24,0.2594,6.2267,0.0386
25,0.026,0.65,0.0
26,0.3965,10.31,0.3133
27,-0.2026,-5.47,0.0
29,0.3914,11.35,0.0
33,0.4991,16.47,0.1423
34,0.8891,30.23,0.0
35,-0.4703,-16.46,0.0
37,-0.3577,-13.235,0.0506
42,-0.1064,-4.47,0.0
44,0.2548,11.21,0.1499
46,1.9135,88.02,0.0
47,-0.3099,-14.5667,0.0213
54,0.1589,8.58,0.0
62,0.1365,8.465,0.0936
65,0.0742,4.82,0.0
80,-0.2635,-21.08,0.0
99,0.0566,5.6,0.0
100,0.0305,3.052,0.0369
102,0.1212,12.36,0.0156
103,-0.0745,-7.67,0.0
104,-0.0987,-10.2667,0.0004
105,1.0825,113.66,0.0
107,-0.072,-7.7,0.0528
110,0.237,26.07,0.0
111,0.0948,10.52,0.0
112,0.1963,21.98,0.0
113,-0.0276,-3.1233,0.0355
114,0.1323,15.08,0.0
115,-0.2101,-24.1575,0.0301
116,-0.3262,-37.84,0.0
121,-0.046,-5.56,0.0
122,0.9029,110.15,0.0
127,0.0664,8.43,0.0431
128,0.0048,0.61,0.0
131,0.3197,41.88,0.0009
137,-0.0907,-12.42,0.0551
138,0.0659,9.1,0.0402
141,1.0645,150.09,0.0
143,-0.1955,-27.96,0.0
144,0.139,20.02,0.0
150,-0.3067,-46.01,0.0
154,-0.0166,-2.56,0.0
164,0.5161,84.64,0.0
169,0.2389,40.38,0.0
172,-0.1176,-20.22,0.0
173,-0.3495,-60.47,0.0
174,0.3564,62.02,0.0
176,-0.1741,-30.65,0.0
178,-0.0633,-11.26,0.0395
180,-0.1255,-22.5867,0.0268
181,-0.0773,-13.99,0.0
183,0.0077,1.41,0.0
192,0.4931,94.68,0.0
193,-0.0845,-16.3,0.0
194,-0.2055,-39.87,0.0
